"caller","col1","col2","col3","col4","col5","arg"
"main","main","shell.c","33096","integerValue",1,"zSize"
"main","main","shell.c","33105","integerValue",1,"call to cmdline_option_value"
"main","main","shell.c","33108","integerValue",1,"call to cmdline_option_value"
"main","main","shell.c","33118","integerValue",1,"call to cmdline_option_value"
"main","main","shell.c","33120","integerValue",1,"call to cmdline_option_value"
"main","main","shell.c","33127","integerValue",1,"call to cmdline_option_value"
"main","main","shell.c","33142","integerValue",1,"call to cmdline_option_value"
"main","main","shell.c","33163","integerValue",1,"access to array"
"main","main","shell.c","33297","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","29952","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","29106","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","29228","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","29237","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","29412","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","29802","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","29889","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","30123","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","30472","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","30480","integerValue",1,"z"
"do_meta_command","do_meta_command","shell.c","30769","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","30990","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","31743","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","31752","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","31800","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","31801","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","31826","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","31827","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","31831","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","31852","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","31963","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","32119","integerValue",1,"access to array"
"do_meta_command","do_meta_command","shell.c","32131","integerValue",1,"access to array"
"booleanValue","booleanValue","shell.c","26087","integerValue",1,"zArg"
"expertDotCommand","expertDotCommand","shell.c","24583","integerValue",1,"access to array"
